date,month_high,month_low,month_close
2016-05-31,8213.599609375,8077.0498046875,8160.10009765625
2016-06-30,8308.150390625,7927.0498046875,8287.75
2016-07-31,8674.7001953125,8287.5498046875,8638.5
2016-08-31,8819.2001953125,8518.150390625,8786.2001953125
2016-09-30,8968.7001953125,8555.2001953125,8611.150390625
2016-10-31,8806.9501953125,8506.150390625,8638.0
2016-11-30,8669.599609375,7916.39990234375,8224.5
2016-12-31,8274.9501953125,7893.7998046875,8185.7998046875
2017-01-31,8672.7001953125,8133.7998046875,8561.2998046875
2017-02-28,8982.150390625,8537.5,8879.599609375
2017-03-31,9218.400390625,8860.099609375,9173.75
2017-04-30,9367.150390625,9075.150390625,9304.0498046875
2017-05-31,9649.599609375,9269.900390625,9621.25
2017-06-30,9709.2998046875,9448.75,9520.900390625
2017-07-31,10114.849609375,9543.5498046875,10077.099609375
2017-08-31,10137.849609375,9685.5498046875,9917.900390625
2017-09-30,10178.9501953125,9687.5498046875,9788.599609375
2017-10-31,10384.5,9831.0498046875,10335.2998046875
2017-11-30,10490.4501953125,10094.0,10226.5498046875
2017-12-31,10552.400390625,10033.349609375,10530.7001953125
2018-01-31,11171.5498046875,10404.650390625,11027.7001953125
2018-02-28,11117.349609375,10276.2998046875,10492.849609375
2018-03-31,10525.5,9951.900390625,10113.7001953125
2018-04-30,10759.0,10111.2998046875,10739.349609375
2018-05-31,10929.2001953125,10417.7998046875,10736.150390625
2018-06-30,10893.25,10550.900390625,10714.2998046875
2018-07-31,11366.0,10604.650390625,11356.5
2018-08-31,11760.2001953125,11234.9501953125,11680.5
2018-09-30,11751.7998046875,10850.2998046875,10930.4501953125
2018-10-31,11035.650390625,10004.5498046875,10386.599609375
2018-11-30,10922.4501953125,10341.900390625,10876.75
2018-12-31,10985.150390625,10333.849609375,10862.5498046875
2019-01-31,10987.4501953125,10583.650390625,10830.9501953125
2019-02-28,11118.099609375,10585.650390625,10792.5
2019-03-31,11588.5,10817.0,11570.0
2019-04-30,11856.150390625,11549.099609375,11748.150390625
2019-05-31,12041.150390625,11108.2998046875,11922.7998046875
2019-06-30,12103.0498046875,11625.099609375,11788.849609375
2019-07-31,11981.75,10999.400390625,11118.0
2019-08-31,11181.4501953125,10637.150390625,11023.25
2019-09-30,11694.849609375,10670.25,11474.4501953125
2019-10-31,11945.0,11090.150390625,11877.4501953125
2019-11-30,12158.7998046875,11802.650390625,12056.0498046875
2019-12-31,12293.900390625,11832.2998046875,12168.4501953125
2020-01-31,12430.5,11929.599609375,11962.099609375
2020-02-29,12246.7001953125,11175.0498046875,11201.75
2020-03-31,11433.0,7511.10009765625,8597.75
2020-04-30,9889.0498046875,8055.7998046875,9859.900390625
2020-05-31,9598.849609375,8806.75,9580.2998046875
2020-06-30,10553.150390625,9544.349609375,10302.099609375
2020-07-31,11341.400390625,10299.599609375,11073.4501953125
2020-08-31,11794.25,10882.25,11387.5
2020-09-30,11618.099609375,10790.2001953125,11247.5498046875
2020-10-31,12025.4501953125,11347.0498046875,11642.400390625
2020-11-30,13145.849609375,11557.400390625,12968.9501953125
2020-12-31,14024.849609375,12962.7998046875,13981.75
2021-01-31,14753.5498046875,13596.75,13634.599609375
2021-02-28,15431.75,13661.75,14529.150390625
2021-03-31,15336.2998046875,14264.400390625,14690.7001953125
2021-04-30,15044.349609375,14151.400390625,14631.099609375
2021-05-31,15606.349609375,14416.25,15582.7998046875
2021-06-30,15915.650390625,15450.900390625,15721.5
2021-07-31,15962.25,15513.4501953125,15763.0498046875
2021-08-31,17153.5,15834.650390625,17132.19921875
2021-09-30,17947.650390625,17055.05078125,17618.150390625
2021-10-31,18604.44921875,17452.900390625,17671.650390625
2021-11-30,18210.150390625,16782.400390625,16983.19921875
2021-12-31,17639.5,16410.19921875,17354.05078125
2022-01-31,18350.94921875,16836.80078125,17339.849609375
2022-02-28,17794.599609375,16203.25,16793.900390625
2022-03-31,17559.80078125,15671.4501953125,17464.75
2022-04-30,18114.650390625,16824.69921875,17102.55078125
2022-05-31,17132.849609375,15735.75,16584.55078125
2022-06-30,16793.849609375,15183.400390625,15780.25
2022-07-31,17172.80078125,15511.0498046875,17158.25
2022-08-31,17992.19921875,17154.80078125,17759.30078125
2022-09-30,18096.150390625,16747.69921875,17094.349609375
2022-10-31,18022.80078125,16855.55078125,18012.19921875
2022-11-30,18816.05078125,17959.19921875,18758.349609375
2022-12-31,18887.599609375,17774.25,18105.30078125
2023-01-31,18251.94921875,17405.55078125,17662.150390625
2023-02-28,18134.75,17255.19921875,17303.94921875
2023-03-31,17799.94921875,16828.349609375,17359.75
2023-04-30,18089.150390625,17312.75,18065.0
2023-05-31,18662.44921875,18042.400390625,18534.400390625
2023-06-30,19201.69921875,18464.55078125,19189.05078125
2023-07-31,19991.849609375,19234.400390625,19753.80078125
2023-08-31,19795.599609375,19223.650390625,19253.80078125
2023-09-30,20222.44921875,19255.69921875,19638.30078125
2023-10-31,19849.75,18837.849609375,19079.599609375
2023-11-30,20158.69921875,18973.69921875,20133.150390625
2023-12-31,21801.44921875,20183.69921875,21731.400390625
2024-01-31,22124.150390625,21137.19921875,21725.69921875
2024-02-29,22297.5,21530.19921875,21982.80078125
2024-03-31,22526.599609375,21710.19921875,22326.900390625
2024-04-30,22783.349609375,21777.650390625,22604.849609375
2024-05-31,23110.80078125,21821.05078125,22530.69921875
2024-06-30,24174.0,21281.44921875,24010.599609375
2024-07-31,24999.75,23992.69921875,24951.150390625
2024-08-31,25268.349609375,23893.69921875,25235.900390625
2024-09-30,26277.349609375,24753.150390625,25810.849609375
2024-10-31,25907.599609375,24073.900390625,24205.349609375
2024-11-30,24537.599609375,23263.150390625,24131.099609375
2024-12-31,24857.75,23460.44921875,23644.80078125
2025-01-31,24226.69921875,22786.900390625,23508.400390625
2025-02-28,23807.30078125,22104.849609375,22124.69921875
2025-03-31,23869.599609375,21964.599609375,23519.349609375
2025-04-30,24457.650390625,21743.650390625,24334.19921875
2025-05-31,25116.25,23935.75,24750.69921875
2025-06-30,25669.349609375,24473.0,25517.05078125
2025-07-31,25608.099609375,24598.599609375,24768.349609375
2025-08-31,25153.650390625,24337.5,24426.849609375
2025-09-30,25448.94921875,24432.69921875,24611.099609375
2025-10-31,26104.19921875,24605.94921875,25722.099609375
2025-11-30,26310.44921875,25318.44921875,26202.94921875
2025-12-31,26325.80078125,25693.25,26129.599609375
2026-01-31,26373.19921875,24919.80078125,25320.650390625
2026-02-28,26341.19921875,24679.400390625,25178.650390625
2026-03-31,24989.349609375,22283.849609375,22331.400390625
2026-04-30,24601.69921875,22182.55078125,23997.55078125
2026-05-31,24482.099609375,23262.55078125,23907.30078125
